Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
05:20:00,4.330748E-02,8.455817E+02,4.330748E-02,3.381050E+02,8.589477E+02,2.875944E-01,7.454613E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:30:00,4.330748E-02,8.440731E+02,4.330748E-02,3.396137E+02,8.604997E+02,2.876470E-01,7.455617E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:40:00,4.330748E-02,8.425645E+02,4.330748E-02,3.411223E+02,8.620518E+02,2.876981E-01,7.456594E+03,4.330748E-02,0.000000E+00,0.000000E+00
05:50:00,4.330748E-02,8.410559E+02,4.330748E-02,3.426309E+02,8.636038E+02,2.877478E-01,7.457543E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:00:00,4.330748E-02,8.395473E+02,4.330748E-02,3.441395E+02,8.651559E+02,2.877962E-01,7.458467E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:10:00,4.330748E-02,8.342671E+02,4.330748E-02,3.494197E+02,8.705881E+02,2.878433E-01,7.459365E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:20:00,4.330748E-02,8.289869E+02,4.330748E-02,3.546999E+02,8.760196E+02,2.878891E-01,7.460240E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:30:00,4.330748E-02,8.237067E+02,4.330748E-02,3.599800E+02,8.814520E+02,2.879337E-01,7.461092E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:40:00,4.330748E-02,8.184266E+02,4.330748E-02,3.652602E+02,8.868841E+02,2.879771E-01,7.461922E+03,4.330748E-02,0.000000E+00,0.000000E+00
06:50:00,4.330748E-02,8.131464E+02,4.330748E-02,3.705404E+02,8.923157E+02,2.880195E-01,7.462730E+03,4.330748E-02,0.000000E+00,0.000000E+00
07:00:00,4.330748E-02,8.078662E+02,4.330748E-02,3.758206E+02,8.977479E+02,2.880607E-01,7.463518E+03,4.330748E-02,0.000000E+00,0.000000E+00
